County,Date,Temperature,Precipitation,Wind,Gust Wind
Alameda,2010-01,49.87,0.0,7.07,1.73
Alameda,2010-02,52.36,0.0,6.79,1.41
Alameda,2010-03,53.44,0.0,8.4,1.39
Alameda,2010-04,54.24,0.0,9.77,2.51
Alameda,2010-05,56.36,0.0,9.84,1.06
Alameda,2010-06,61.92,0.0,9.92,0.97
Alameda,2010-07,61.69,0.0,9.59,0.4
Alameda,2010-08,62.49,0.0,9.61,0.69
Alameda,2010-09,66.55,0.0,7.43,0.3
Alameda,2010-10,63.63,0.0,6.68,0.38
Alameda,2010-11,54.7,0.0,6.56,0.71
Alameda,2010-12,51.76,0.0,6.76,1.49
Alameda,2011-01,49.37,0.0,4.59,0.07
Alameda,2011-02,49.98,0.0,8.43,2.77
Alameda,2011-03,53.31,0.0,9.58,2.65
Alameda,2011-04,55.17,0.0,10.21,1.49
Alameda,2011-05,56.32,0.0,11.59,1.65
Alameda,2011-06,58.97,0.0,9.05,0.59
Alameda,2011-07,60.86,0.0,9.45,0.46
Alameda,2011-08,59.66,0.0,8.51,0.29
Alameda,2011-09,62.64,0.0,7.21,0.19
Alameda,2011-10,63.26,0.0,6.04,0.49
Alameda,2011-11,55.74,0.0,6.4,0.9
Alameda,2011-12,47.95,0.0,4.4,1.24
Alameda,2012-01,48.5,0.0,5.52,1.08
Alameda,2012-02,51.14,0.0,7.26,1.07
Alameda,2012-03,51.94,0.0,9.81,2.63
Alameda,2012-04,55.55,0.0,9.25,1.64
Alameda,2012-05,57.38,0.0,9.57,0.79
Alameda,2012-06,59.7,0.0,10.02,0.99
Alameda,2012-07,60.19,0.0,9.59,0.73
Alameda,2012-08,60.66,0.0,9.15,0.7
Alameda,2012-09,58.61,0.0,7.68,0.15
Alameda,2012-10,61.2,0.0,6.4,0.41
Alameda,2012-11,57.6,0.0,6.5,0.61
Alameda,2012-12,52.09,0.0,7.46,1.74
Alameda,2013-01,48.42,0.0,4.36,0.32
Alameda,2013-02,51.31,0.0,6.04,0.54
Alameda,2013-03,55.53,0.0,7.27,0.65
Alameda,2013-04,60.01,0.0,8.95,2.01
Alameda,2013-05,60.83,0.0,9.89,0.7
Alameda,2013-06,62.74,0.0,9.32,0.65
Alameda,2013-07,62.53,0.0,9.47,0.96
Alameda,2013-08,62.73,0.0,8.71,0.38
Alameda,2013-09,64.8,0.0,9.17,0.68
Alameda,2013-10,58.85,0.0,6.31,0.87
Alameda,2013-11,55.15,0.0,5.05,1.02
Alameda,2013-12,46.77,0.0,4.09,0.39
Alameda,2014-01,51.69,0.0,3.78,0.2
Alameda,2014-02,53.25,0.0,6.9,0.82
Alameda,2014-03,58.06,0.05,8.19,1.44
Alameda,2014-04,58.16,0.07,8.53,1.44
Alameda,2014-05,62.09,0.0,10.52,0.77
Alameda,2014-06,61.42,0.0,9.76,1.0
Alameda,2014-07,64.37,0.0,9.85,0.41
Alameda,2014-08,65.04,0.0,9.02,0.56
