County,Date,Temperature,Precipitation,Wind,Gust Wind
Marin,2019-03,53.93,0.11,6.06,1.95
Marin,2019-04,55.81,0.01,6.35,2.09
Marin,2019-05,56.35,0.08,7.13,1.7
Marin,2019-06,59.59,0.0,6.08,0.57
Marin,2019-07,60.56,0.0,6.68,0.63
Marin,2019-08,63.41,0.0,5.65,0.51
Marin,2019-09,65.4,0.0,5.97,1.0
Marin,2019-10,60.5,0.0,4.87,0.21
Marin,2019-11,53.7,0.05,4.64,0.78
Marin,2019-12,54.95,0.21,4.95,1.29
Marin,2020-01,52.62,0.04,4.7,0.74
Marin,2020-02,53.05,0.0,5.36,1.28
Marin,2020-03,54.34,0.19,5.75,0.97
Marin,2020-04,56.95,0.08,6.23,0.78
Marin,2020-05,59.14,0.01,6.12,0.65
Marin,2020-06,59.9,0.0,6.43,1.54
Marin,2020-07,59.04,0.0,6.45,0.83
Marin,2020-08,66.71,0.0,4.94,0.42
Marin,2020-09,25.02,0.0,4.05,0.09
Marin,2020-10,52.61,0.0,3.54,0.02
Marin,2020-11,52.81,0.02,4.64,0.18
Marin,2020-12,50.95,0.02,4.94,0.47
Marin,2021-01,51.85,0.14,5.26,1.9
Marin,2021-02,52.51,0.02,5.69,1.16
Marin,2021-03,53.5,0.05,6.51,2.19
Marin,2021-04,54.73,0.0,6.86,0.62
Marin,2021-05,56.66,0.0,7.39,2.44
Marin,2021-06,61.48,0.0,6.82,1.3
Marin,2021-07,61.24,0.0,6.25,0.14
Marin,2021-08,63.25,0.0,5.6,0.61
Marin,2021-09,62.18,0.0,4.82,0.44
Marin,2021-10,59.78,0.08,5.65,1.95
Marin,2021-11,58.02,0.02,4.15,0.04
Marin,2021-12,51.91,0.2,5.49,1.96
Mariposa,2010-01,47.87,0.0,4.38,0.7
Mariposa,2010-02,51.41,0.0,3.5,0.15
Mariposa,2010-03,55.25,0.0,5.28,1.05
Mariposa,2010-04,57.37,0.0,6.23,1.49
Mariposa,2010-05,64.98,0.0,8.2,2.65
Mariposa,2010-06,77.68,0.0,9.1,2.45
Mariposa,2010-07,83.24,0.0,7.2,0.14
Mariposa,2010-08,79.71,0.0,6.51,0.15
Mariposa,2010-09,76.39,0.0,5.07,0.3
Mariposa,2010-10,67.23,0.0,4.69,0.4
Mariposa,2010-11,52.75,0.0,3.61,0.17
Mariposa,2010-12,50.32,0.0,3.93,0.23
Mariposa,2011-01,45.52,0.0,2.52,0.0
Mariposa,2011-02,48.84,0.0,4.29,0.66
Mariposa,2011-03,54.98,0.0,6.32,1.36
Mariposa,2011-04,60.54,0.0,7.3,2.09
Mariposa,2011-05,65.12,0.0,7.9,2.0
Mariposa,2011-06,74.75,0.0,7.6,0.99
Mariposa,2011-07,81.77,0.0,7.32,0.26
Mariposa,2011-08,82.23,0.0,6.04,0.11
Mariposa,2011-09,80.07,0.0,5.22,0.16
Mariposa,2011-10,67.05,0.0,3.61,0.2
Mariposa,2011-11,52.13,0.0,3.26,0.21
Mariposa,2011-12,43.99,0.0,2.11,0.55
Mariposa,2012-01,48.28,0.0,2.9,0.24
Mariposa,2012-02,52.0,0.0,4.2,0.52
Mariposa,2012-03,55.85,0.0,5.76,1.38
Mariposa,2012-04,62.78,0.0,6.45,1.66
Mariposa,2012-05,72.29,0.0,8.07,1.89
Mariposa,2012-06,78.04,0.0,9.03,3.0
Mariposa,2012-07,83.3,0.0,6.69,0.35
Mariposa,2012-08,85.92,0.0,6.36,0.17
Mariposa,2012-09,80.89,0.0,4.5,0.0
Mariposa,2012-10,68.35,0.0,4.18,0.11
